song,band_singer,year,danceability,energy,valence,acousticness
Clocks,Coldplay,1970-01-01 00:00:00.000002003,0.577,0.749,0.255,0.599
Rain on Me,Ashanti,1970-01-01 00:00:00.000002003,0.606,0.6990000000000001,0.509,0.343
19 Somethin',Mark Wills,1970-01-01 00:00:00.000002003,0.58,0.8160000000000001,0.8140000000000001,0.132
Red Dirt Road,Brooks & Dunn,1970-01-01 00:00:00.000002003,0.595,0.44,0.336,0.629
What Was I Thinkin',Dierks Bentley,1970-01-01 00:00:00.000002003,0.551,0.8250000000000001,0.933,0.152
Flying Without Wings,Ruben Studdard,1970-01-01 00:00:00.000002003,0.498,0.493,0.222,0.75
Sing for the Moment,Eminem,1970-01-01 00:00:00.000002003,0.668,0.8240000000000001,0.185,0.0017
Have You Forgotten?,Darryl Worley,1970-01-01 00:00:00.000002003,0.478,0.625,0.343,0.0515
"No Shoes, No Shirt, No Problems",Kenny Chesney,1970-01-01 00:00:00.000002003,0.719,0.546,0.669,0.243
Come Over,Aaliyah,1970-01-01 00:00:00.000002003,0.759,0.458,0.641,0.559
Sick of Being Lonely,Field Mob,1970-01-01 00:00:00.000002003,0.6920000000000001,0.921,0.856,0.0016
Step in the Name of Love,R. Kelly,1970-01-01 00:00:00.000002003,0.775,0.53,0.775,0.2
I Want You,Thalía,1970-01-01 00:00:00.000002003,0.803,0.773,0.708,0.0107
Like a Stone,Audioslave,1970-01-01 00:00:00.000002003,0.614,0.5680000000000001,0.516,0.00797
Superman,Eminem,1970-01-01 00:00:00.000002003,0.802,0.755,0.58,0.0215
Real Good Man,Tim McGraw,1970-01-01 00:00:00.000002003,0.56,0.8270000000000001,0.639,0.00986
Say Yes,Floetry,1970-01-01 00:00:00.000002003,0.747,0.398,0.428,0.211
Yeah!,Usher,1970-01-01 00:00:00.000002004,0.894,0.791,0.583,0.0183
Yeah!,Lil Jon,1970-01-01 00:00:00.000002004,0.768,0.843,0.763,0.203
Burn,Usher,1970-01-01 00:00:00.000002004,0.796,0.477,0.685,0.314
If I Ain't Got You,Alicia Keys,1970-01-01 00:00:00.000002004,0.609,0.444,0.166,0.603
This Love,Maroon 5,1970-01-01 00:00:00.000002004,0.712,0.862,0.809,0.0525
The Way You Move,OutKast,1970-01-01 00:00:00.000002004,0.871,0.597,0.635,0.126
The Reason,Hoobastank,1970-01-01 00:00:00.000002004,0.472,0.671,0.0681,0.0129
I Don't Wanna Know,Mario Winans,1970-01-01 00:00:00.000002004,0.833,0.44,0.424,0.123
I Don't Wanna Know,P. Diddy,1970-01-01 00:00:00.000002004,0.73,0.284,0.484,0.0268
Hey Ya!,OutKast,1970-01-01 00:00:00.000002004,0.727,0.974,0.965,0.103
Goodies,Ciara,1970-01-01 00:00:00.000002004,0.8260000000000001,0.647,0.872,0.0277
Lean Back,Terror Squad,1970-01-01 00:00:00.000002004,0.783,0.916,0.6950000000000001,0.11
Lean Back,Fat Joe,1970-01-01 00:00:00.000002004,0.611,0.754,0.5650000000000001,0.116
Tipsy,J-Kwon,1970-01-01 00:00:00.000002004,0.925,0.744,0.656,0.0644
Confessions Part II,Usher,1970-01-01 00:00:00.000002004,0.845,0.467,0.7020000000000001,0.0586
Slow Motion,Juvenile,1970-01-01 00:00:00.000002004,0.713,0.734,0.89,0.548
Slow Motion,Soulja Slim,1970-01-01 00:00:00.000002004,0.718,0.749,0.906,0.521
Freek-a-Leek,Petey Pablo,1970-01-01 00:00:00.000002004,0.756,0.6910000000000001,0.632,0.0744
Here Without You,3 Doors Down,1970-01-01 00:00:00.000002004,0.557,0.533,0.233,0.0492
Slow Jamz,Twista,1970-01-01 00:00:00.000002004,0.559,0.733,0.611,0.314
Someday,Nickelback,1970-01-01 00:00:00.000002004,0.455,0.858,0.597,0.000616
Naughty Girl,Beyoncé,1970-01-01 00:00:00.000002004,0.588,0.461,0.659,0.237
My Immortal,Evanescence,1970-01-01 00:00:00.000002004,0.19,0.265,0.101,0.863
Sunshine,Lil' Flip,1970-01-01 00:00:00.000002004,0.8140000000000001,0.387,0.792,0.0248
Dirt Off Your Shoulder,Jay-Z,1970-01-01 00:00:00.000002004,0.78,0.657,0.648,0.0321
Move Ya Body,Nina Sky,1970-01-01 00:00:00.000002004,0.87,0.712,0.877,0.0202
Dip It Low,Christina Milian,1970-01-01 00:00:00.000002004,0.754,0.718,0.5760000000000001,0.0122
My Boo,Usher,1970-01-01 00:00:00.000002004,0.662,0.507,0.676,0.257
One Call Away,Chingy,1970-01-01 00:00:00.000002004,0.765,0.8210000000000001,0.962,0.0918
"Me, Myself and I",Beyoncé,1970-01-01 00:00:00.000002004,0.75,0.458,0.536,0.226
Turn Me On,Kevin Lyttle,1970-01-01 00:00:00.000002004,0.677,0.682,0.875,0.0405
The First Cut Is the Deepest,Sheryl Crow,1970-01-01 00:00:00.000002004,0.501,0.749,0.673,0.0176
You Don't Know My Name,Alicia Keys,1970-01-01 00:00:00.000002004,0.264,0.663,0.249,0.59
My Place,Nelly,1970-01-01 00:00:00.000002004,0.6000000000000001,0.641,0.642,0.0498
Overnight Celebrity,Twista,1970-01-01 00:00:00.000002004,0.8280000000000001,0.792,0.777,0.182
Hotel,Cassidy,1970-01-01 00:00:00.000002004,0.68,0.659,0.411,0.118
Hotel,R. Kelly,1970-01-01 00:00:00.000002004,0.869,0.522,0.492,0.0361
Numb,Linkin Park,1970-01-01 00:00:00.000002004,0.496,0.863,0.243,0.0046
Diary,Alicia Keys,1970-01-01 00:00:00.000002004,0.663,0.465,0.279,0.555
She Will Be Loved,Maroon 5,1970-01-01 00:00:00.000002004,0.651,0.663,0.465,0.228
White Flag,Dido,1970-01-01 00:00:00.000002004,0.509,0.538,0.284,0.306
Heaven,Los Lonely Boys,1970-01-01 00:00:00.000002004,0.653,0.8160000000000001,0.802,0.376
Pieces of Me,Ashlee Simpson,1970-01-01 00:00:00.000002004,0.532,0.807,0.759,0.0584
Leave (Get Out),JoJo,1970-01-01 00:00:00.000002004,0.491,0.73,0.461,0.039
Milkshake,Kelis,1970-01-01 00:00:00.000002004,0.891,0.77,0.8190000000000001,0.00862
Splash Waterfalls,Ludacris,1970-01-01 00:00:00.000002004,0.734,0.846,0.7020000000000001,0.101
Jesus Walks,Kanye West,1970-01-01 00:00:00.000002004,0.637,0.834,0.715,0.614
Locked Up,Akon,1970-01-01 00:00:00.000002004,0.833,0.5680000000000001,0.369,0.0262
Stand Up,Ludacris,1970-01-01 00:00:00.000002004,0.751,0.84,0.801,0.367
Suga Suga,Baby Bash,1970-01-01 00:00:00.000002004,0.662,0.748,0.535,0.6880000000000001
Suga Suga,Frankie J,1970-01-01 00:00:00.000002004,0.684,0.522,0.809,0.276
All Falls Down,Kanye West,1970-01-01 00:00:00.000002004,0.657,0.734,0.434,0.149
Toxic,Britney Spears,1970-01-01 00:00:00.000002004,0.774,0.838,0.924,0.0249
Salt Shaker,Ying Yang Twins,1970-01-01 00:00:00.000002004,0.884,0.6970000000000001,0.322,0.0509
With You,Jessica Simpson,1970-01-01 00:00:00.000002004,0.553,0.756,0.605,0.0923
Meant to Live,Switchfoot,1970-01-01 00:00:00.000002004,0.397,0.903,0.556,0.00575
I Like That,Houston,1970-01-01 00:00:00.000002004,0.797,0.502,0.385,0.0154
I Like That,Nate Dogg,1970-01-01 00:00:00.000002004,0.751,0.445,0.433,0.0508
I Like That,I-20,1970-01-01 00:00:00.000002004,0.677,0.623,0.287,0.02
Sorry 2004,Ruben Studdard,1970-01-01 00:00:00.000002004,0.721,0.472,0.462,0.076
My Happy Ending,Avril Lavigne,1970-01-01 00:00:00.000002004,0.414,0.936,0.74,0.00136
On Fire,Lloyd Banks,1970-01-01 00:00:00.000002004,0.759,0.8250000000000001,0.429,0.0923
Roses,OutKast,1970-01-01 00:00:00.000002004,0.751,0.708,0.509,0.0482
Walked Outta Heaven,Jagged Edge,1970-01-01 00:00:00.000002004,0.67,0.616,0.523,0.5730000000000001
My Band,D12,1970-01-01 00:00:00.000002004,0.851,0.849,0.844,0.497
I'm Still in Love with You,Sean Paul,1970-01-01 00:00:00.000002004,0.762,0.669,0.765,0.0957
Through the Wire,Kanye West,1970-01-01 00:00:00.000002004,0.5710000000000001,0.739,0.66,0.00865
Why?,Jadakiss,1970-01-01 00:00:00.000002004,0.602,0.938,0.562,0.0164
Why?,Anthony Hamilton,1970-01-01 00:00:00.000002004,0.664,0.5750000000000001,0.711,0.484
Fuck It (I Don't Want You Back),Eamon,1970-01-01 00:00:00.000002004,0.8280000000000001,0.653,0.5750000000000001,0.214
Read Your Mind,Avant,1970-01-01 00:00:00.000002004,0.755,0.381,0.6950000000000001,0.291
Game Over (Flip),Lil' Flip,1970-01-01 00:00:00.000002004,0.8300000000000001,0.577,0.665,0.00291
One Thing,Finger Eleven,1970-01-01 00:00:00.000002004,0.588,0.555,0.445,0.447
Headsprung,LL Cool J,1970-01-01 00:00:00.000002004,0.718,0.786,0.465,0.0114
Damn!,YoungBloodZ,1970-01-01 00:00:00.000002004,0.772,0.724,0.518,0.0149
Damn!,Lil Jon,1970-01-01 00:00:00.000002004,0.626,0.513,0.426,0.0533
Baby Boy,Beyoncé,1970-01-01 00:00:00.000002004,0.655,0.488,0.791,0.0825
Baby Boy,Sean Paul,1970-01-01 00:00:00.000002004,0.677,0.621,0.8180000000000001,0.0667
Get Low,Lil Jon & the East Side Boyz,1970-01-01 00:00:00.000002004,0.521,0.625,0.136,0.0301
Dirty Little Secret,The All-American Rejects,1970-01-01 00:00:00.000002006,0.465,0.954,0.458,0.000346
Whistle,Flo Rida,1970-01-01 00:00:00.000002012,0.747,0.937,0.739,0.0208
Levitating,Dua Lipa,1970-01-01 00:00:00.000002021,0.7020000000000001,0.8250000000000001,0.915,0.00883
