track_name,artist_name,danceability,energy,valence,acousticness,year
Hood Baby,KBFR,0.974,0.472,0.806,0.0488,2020
Shoota (feat. Lil Uzi Vert),Playboi Carti,0.673,0.649,0.47,0.188,2020
I Just Want to Be the One You Love,Boxout,0.497,0.349,0.251,0.967,2020
Make You Mine,PUBLIC,0.606,0.799,0.638,0.0128,2020
To Be So Lonely,Harry Styles,0.758,0.436,0.605,0.618,2020
Hotel Room Service,Pitbull,0.849,0.599,0.761,0.00301,2020
M to the B,Millie B,0.897,0.513,0.692,0.571,2020
Say So (feat. Nicki Minaj),Doja Cat,0.856,0.641,0.745,0.119,2020
What's My Name?,Rihanna,0.69,0.786,0.583,0.229,2020
Whatcha Say,Jason Derulo,0.615,0.711,0.711,0.0444,2020
Hey Julie! (feat. Lil Yachty),KYLE,0.801,0.505,0.757,0.0446,2020
Crush,Tessa Violet,0.91,0.402,0.825,0.0297,2020
Mr. Blue Sky,Electric Light Orchestra,0.388,0.338,0.478,0.652,2020
Myron,Lil Uzi Vert,0.771,0.654,0.573,0.055,2020
I'm Looking for Mrs. Bubblegum,Memetown,0.977,0.39,0.962,0.214,2020
Partition,Beyoncé,0.418,0.441,0.172,0.029,2020
Lets Link,WhoHeem,0.839,0.683,0.522,0.00667,2020
Are You Bored Yet? (feat. Clairo),Wallows,0.682,0.683,0.64,0.156,2020
Trampoline,SHAED,0.689,0.412,0.537,0.488,2020
Paper Planes,M.I.A.,0.447,0.848,0.485,0.033,2020
She Belongs to the Streets (Toxic),Rontae Don't Play,0.893,0.296,0.321,0.00348,2020
OUT WEST (feat. Young Thug),JACKBOYS,0.802,0.591,0.309,0.0104,2020
Breathe,Years & Years,0.746,0.486,0.417,0.222,2020
Yellow Hearts,Ant Saunders,0.866,0.438,0.695,0.177,2020
Needs,Verzache,0.813,0.601,0.855,0.189,2020
"Sofia the First Main Title Theme - From ""Sofia the First""",Cast - Sofia the First,0.655,0.789,0.66,0.423,2020
Mi Pan Su Su Sum,Miel Pops,0.696,0.375,0.688,0.27,2020
Wasabi,Little Mix,0.847,0.656,0.234,0.00451,2020
CITY OF ANGELS,24kGoldn,0.686,0.541,0.724,0.042,2020
Rags to Riches,YoungBoy Never Broke Again,0.763,0.604,0.18,0.0838,2020
Hatchback,Cochise,0.734,0.692,0.348,0.0221,2020
VIBEZ,DaBaby,0.768,0.652,0.777,0.113,2020
Obnimi (Remix),Okean Elzi,0.714,0.845,0.51,0.199,2020
All About Cake (feat. Coi Leray & Kaash Paige),KyleYouMadeThat,0.905,0.521,0.533,0.213,2020
Lose Control,MEDUZA,0.598,0.526,0.529,0.129,2020
Coño,Puri,0.847,0.573,0.332,0.00739,2020
Grow A Pear,Kesha,0.863,0.667,0.892,0.0154,2020
Say So - Japanese Version,Rainych,0.732,0.668,0.705,0.775,2020
Photo ID,Remi Wolf,0.822,0.66,0.802,0.111,2020
TROLLZ (with Nicki Minaj),6ix9ine,0.744,0.422,0.493,0.0319,2020
Working Bitch,Ashnikko,0.928,0.392,0.454,0.0374,2020
Like That (feat. Gucci Mane),Doja Cat,0.879,0.498,0.405,0.239,2020
Rags2Riches 2 (feat. Lil Baby),Rod Wave,0.874,0.443,0.298,0.147,2020
Work Out,J. Cole,0.831,0.427,0.216,0.0531,2020
The Box,Roddy Ricch,0.896,0.586,0.642,0.104,2020
