track_name,artist_name,danceability,energy,valence,acousticness,year
INFERNO,Sub Urban,0.82,0.611,0.637,0.0766,2021
THATS WHAT I WANT,Lil Nas X,0.737,0.846,0.546,0.00614,2021
Savage Love (Laxed - Siren Beat),Jawsh 685,0.767,0.481,0.761,0.234,2021
Play Date,Melanie Martinez,0.68,0.729,0.446,0.612,2021
Mood (feat. iann dior),24kGoldn,0.7,0.722,0.756,0.221,2021
Electric Love,BØRNS,0.611,0.797,0.518,0.00543,2021
Good Days,SZA,0.436,0.655,0.412,0.499,2021
You Right,Doja Cat,0.828,0.621,0.436,0.0164,2021
idfc,blackbear,0.63,0.5,0.315,0.611,2021
Be Kind (with Halsey),Marshmello,0.63,0.633,0.452,0.00776,2021
love nwantiti (ah ah ah),CKay,0.727,0.739,0.533,0.365,2021
34+35,Ariana Grande,0.83,0.585,0.485,0.237,2021
positions,Ariana Grande,0.737,0.802,0.682,0.468,2021
Eenie Meenie,Sean Kingston,0.72,0.607,0.828,0.0543,2021
Calling My Phone,Lil Tjay,0.907,0.393,0.202,0.451,2021
What A Shame,Leyla Blue,0.699,0.463,0.565,0.315,2021
Maniac,Conan Gray,0.628,0.639,0.493,0.00162,2021
Fashion Week,cry,0.717,0.846,0.713,0.00401,2021
Hold On,Justin Bieber,0.658,0.634,0.302,0.0104,2021
Somebody To You,The Vamps,0.526,0.818,0.896,0.0587,2021
Shouldn't Be,Luke Chiang,0.651,0.291,0.302,0.738,2021
Give Love,AKMU,0.793,0.706,0.839,0.332,2021
PYRO,Chester Young,0.718,0.977,0.259,0.143,2021
Maps,Maroon 5,0.742,0.713,0.879,0.0205,2021
Wildest Dreams,Taylor Swift,0.553,0.664,0.467,0.0709,2021
Baby I Got Issues,U/NITISH,0.734,0.495,0.539,0.548,2021
Motive X - Promiscuous Mix,Khlaw,0.786,0.764,0.789,0.00584,2021
"No Guidance, Remake",Litfranse,0.697,0.505,0.172,0.121,2021
Way Back Home,SHAUN,0.745,0.739,0.556,0.405,2021
Like I Can,Sam Smith,0.656,0.627,0.481,0.343,2021
Miss Independent,Ne-Yo,0.668,0.673,0.727,0.48,2021
Sweet but Psycho,Ava Max,0.72,0.706,0.62,0.0684,2021
Say So,Doja Cat,0.787,0.673,0.779,0.264,2021
motive (with Doja Cat),Ariana Grande,0.789,0.742,0.661,0.0681,2021
WFM,RealestK,0.437,0.184,0.247,0.72,2021
Die Young,Kesha,0.711,0.7,0.801,0.00498,2021
Some,BOL4,0.659,0.799,0.782,0.417,2021
dirty laundry,blackbear,0.766,0.64,0.67,0.051,2021
Classic,MKTO,0.72,0.79,0.755,0.0383,2021
Where'd You Go (feat. Holly Brook & Jonah Matranga),Fort Minor,0.684,0.819,0.25,0.262,2021
Still into You,Paramore,0.602,0.923,0.765,0.0098,2021
Where Them Girls At (feat. Nicki Minaj & Flo Rida),David Guetta,0.666,0.876,0.552,0.055,2021
Toxic,BoyWithUke,0.594,0.612,0.687,0.835,2021
Я буду ебать,Moreart,0.811,0.712,0.497,0.142,2021
TWINNEM,Coi Leray,0.885,0.353,0.316,0.0866,2021
Might Be,DJ Luke Nasty,0.448,0.782,0.694,0.378,2021
Heat Waves,Glass Animals,0.761,0.525,0.531,0.44,2021
Low (feat. T-Pain),Flo Rida,0.918,0.609,0.304,0.0928,2021
Take You To Hell,Ava Max,0.501,0.682,0.503,0.135,2021
True Love (feat. Lily Allen),P!nk,0.457,0.823,0.578,0.00144,2021
24/7,Celina Sharma,0.704,0.638,0.386,0.385,2021
In The Bible (with Lil Durk & Giveon),Drake,0.686,0.385,0.147,0.614,2021
Because Of You,Ne-Yo,0.81,0.538,0.828,0.528,2021
BOOM,Tiësto,0.886,0.84,0.203,0.0164,2021
放個大招給你看 (OPPO Reno 宣傳曲),Ryan.B,0.704,0.576,0.921,0.654,2021
Soap,Melanie Martinez,0.595,0.689,0.213,0.254,2021
California Gurls,Katy Perry,0.791,0.754,0.425,0.00446,2021
Insomnia,Craig David,0.62,0.884,0.594,0.00595,2021
One Time,Justin Bieber,0.691,0.853,0.762,0.0631,2021
Me Too,Meghan Trainor,0.934,0.694,0.833,0.0971,2021
SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),Amaarae,0.859,0.525,0.312,0.434,2021
Infinity,Jaymes Young,0.671,0.673,0.494,0.148,2021
No Lie,Sean Paul,0.742,0.882,0.463,0.0466,2021
"SG (with Ozuna, Megan Thee Stallion & LISA of BLACKPINK)",DJ Snake,0.8,0.837,0.702,0.00406,2021
Day 'n' Nite,Kid Cudi,0.88,0.445,0.787,0.515,2021
Up (feat. Demi Lovato),Olly Murs,0.692,0.831,0.676,0.0146,2021
Title,Meghan Trainor,0.779,0.754,0.883,0.343,2021
Style,Taylor Swift,0.588,0.791,0.487,0.00245,2021
Every Summertime,NIKI,0.628,0.676,0.723,0.393,2021
Snowman,Sia,0.716,0.512,0.326,0.483,2021
Se Acabó la Cuarentena,Jowell & Randy,0.886,0.605,0.646,0.00127,2021
abcdefu,GAYLE,0.695,0.54,0.415,0.299,2021
Hips Don't Lie (feat. Wyclef Jean),Shakira,0.778,0.824,0.758,0.284,2021
Save Your Tears,The Weeknd,0.68,0.826,0.644,0.0212,2021
hot girl bummer,blackbear,0.778,0.559,0.678,0.128,2021
I Wanna Love You,Akon,0.865,0.45,0.352,0.0359,2021
All I Wanna Do,Jay Park,0.613,0.668,0.509,0.245,2021
Ain't Your Mama,Jennifer Lopez,0.757,0.678,0.82,0.0472,2021
Teenage Dream,Katy Perry,0.719,0.798,0.591,0.0162,2021
Like A G6,Far East Movement,0.435,0.837,0.778,0.00676,2021
Love Me,Justin Bieber,0.729,0.868,0.632,0.00939,2021
Baby,Justin Bieber,0.728,0.859,0.535,0.0401,2021
Favorite Girl,Justin Bieber,0.581,0.681,0.634,0.0472,2021
Love Tonight - David Guetta Remix Edit,Shouse,0.621,0.989,0.0348,0.015,2021
Ghost,Justin Bieber,0.601,0.741,0.441,0.185,2021
Polaroid Love,ENHYPEN,0.738,0.67,0.651,0.458,2021
Save Your Tears (with Ariana Grande) (Remix),The Weeknd,0.65,0.825,0.593,0.0215,2021
MIDDLE OF THE NIGHT,Elley Duhé,0.41,0.611,0.0899,0.0228,2021
We Found Love,Rihanna,0.734,0.766,0.6,0.025,2021
Panda,Desiigner,0.685,0.731,0.266,0.0292,2021
TO THE MOON,Jnr Choi,0.745,0.65,0.386,0.0451,2021
Upside Down,JVKE,0.88,0.501,0.459,0.0494,2021
lowkey,NIKI,0.752,0.494,0.227,0.432,2021
Desce Pro Play (PA PA PA),ZAAC,0.935,0.71,0.635,0.0769,2021
Running Up That Hill (A Deal With God),Kate Bush,0.629,0.547,0.197,0.72,2022
As It Was,Harry Styles,0.52,0.731,0.662,0.342,2022
Sunroof,Nicky Youre,0.768,0.716,0.841,0.35,2022
Heat Waves,Glass Animals,0.761,0.525,0.531,0.44,2022
About Damn Time,Lizzo,0.836,0.743,0.722,0.0995,2022
Glimpse of Us,Joji,0.44,0.317,0.268,0.891,2022
Bad Habit,Steve Lacy,0.686,0.494,0.7,0.613,2022
STAY (with Justin Bieber),The Kid LAROI,0.591,0.764,0.478,0.0383,2022
Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,0.728,0.783,0.555,0.237,2022
First Class,Jack Harlow,0.905,0.563,0.324,0.0254,2022
Afraid To Feel,LF SYSTEM,0.578,0.912,0.68,0.0166,2022
Betty (Get Money),Yung Gravy,0.723,0.772,0.58,0.00524,2022
abcdefu,GAYLE,0.695,0.54,0.415,0.299,2022
Being Good Is Boring,Jena Rose,0.767,0.758,0.844,0.0368,2022
MIDDLE OF THE NIGHT,Elley Duhé,0.41,0.611,0.0899,0.0228,2022
Envolver,Anitta,0.812,0.736,0.396,0.152,2022
AMG,Jt5k,0.802,0.509,0.0567,0.0283,2022
SNAP,Rosa Linn,0.563,0.639,0.518,0.107,2022
Baby Girl,Disco Lines,0.73,0.907,0.249,0.0921,2022
Flex On My Ex (with Bankrol Hayden),KillBunk,0.619,0.707,0.365,0.00601,2022
House of Memories,Panic! At The Disco,0.506,0.817,0.506,0.00272,2022
The Plan,Arman Aydin,0.812,0.653,0.864,0.0059,2022
Thousand Miles,The Kid LAROI,0.376,0.657,0.203,0.0858,2022
INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,0.736,0.704,0.894,0.0203,2022
Until I Found You,Stephen Sanchez,0.539,0.508,0.227,0.727,2022
Oh No,Kreepa,0.541,0.527,0.429,0.00279,2022
Cooped Up (with Roddy Ricch),Post Malone,0.669,0.773,0.377,0.038,2022
TO THE MOON,Jnr Choi,0.745,0.65,0.386,0.0451,2022
Dreamer,Astelle,0.744,0.848,0.823,0.0811,2022
Left and Right (Charlie Puth) [feat. Jung Kook of BTS] - Sped Up Version,sped up nightcore,0.827,0.456,0.689,0.622,2022
Pepas,YES YES,0.691,0.823,0.149,0.0235,2022
Bam Bam (feat. Ed Sheeran),Camila Cabello,0.756,0.697,0.956,0.182,2022
Fever - Remix,XY&O,0.782,0.586,0.724,0.0608,2022
On My Way!,P.S.,0.797,0.666,0.855,0.167,2022
Another Love,Tom Odell,0.445,0.537,0.131,0.695,2022
Frozen,Madonna,0.706,0.633,0.375,0.267,2022
Riptide,Viva La Panda,0.621,0.847,0.373,0.0584,2022
Down Under (feat. Colin Hay),Luude,0.308,0.861,0.0386,0.012,2022
Meet Me At Our Spot,THE ANXIETY,0.773,0.47,0.399,0.0153,2022
When You're Gone,Paradigm,0.783,0.753,0.663,0.0117,2022
That Bxtch,Taylor Watson,0.645,0.681,0.458,0.037,2022
Long Road,HotBlock Jmoe,0.738,0.685,0.663,0.135,2022
Without You,John De Sohn,0.643,0.745,0.461,0.0449,2022
Light Switch,Charlie Puth,0.69,0.626,0.912,0.105,2022
I Wanna Know,Alex Alexander,0.772,0.754,0.88,0.348,2022
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofía Reyes,0.792,0.895,0.794,0.165,2022
credit union,Kinrose,0.776,0.656,0.649,0.329,2022
love nwantiti (ah ah ah),CKay,0.727,0.739,0.533,0.365,2022
Bad Habits,Ed Sheeran,0.808,0.897,0.591,0.0469,2022
Leap of Faith,Alex Alexander,0.557,0.802,0.778,0.00924,2022
Ocean Eyes,Farux,0.729,0.763,0.113,0.668,2022
Chaa Chaa Chaa (feat. HoodCelebrityy),Girll Codee,0.808,0.592,0.628,0.431,2022
Late Night Talking,Harry Styles,0.714,0.728,0.901,0.298,2022
Moi... Lolita,Monaldin,0.796,0.66,0.735,0.0531,2022
Warning / Signs,Matvey Emerson,0.712,0.829,0.541,0.0891,2022
Serenity,Shab,0.688,0.595,0.312,0.0515,2022
MAMIII,Becky G,0.843,0.7,0.899,0.0934,2022
Running To You (feat. Caden),VINAI,0.579,0.727,0.246,0.0321,2022
Good Morning,P.S.,0.732,0.511,0.691,0.15,2022
MONTERO (Call Me By Your Name),Lil Nas X,0.61,0.508,0.758,0.297,2022
Tainted Love,Thatsimo,0.646,0.765,0.362,0.0437,2022
Build a Bitch,Bella Poarch,0.855,0.463,0.866,0.217,2022
SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),Amaarae,0.87,0.523,0.319,0.433,2022
Can't Get You Out of My Head,loafers,0.642,0.61,0.294,0.16,2022
THATS WHAT I WANT,Lil Nas X,0.737,0.846,0.546,0.00614,2022
We Know,JAM & Philly,0.871,0.819,0.712,0.142,2022
Cold Heart - PNAU Remix,Elton John,0.795,0.8,0.934,0.0354,2022
Jiggle Jiggle,Duke & Jones,0.864,0.412,0.654,0.458,2022
Lost,Frank Ocean,0.912,0.594,0.514,0.0319,2022
Would I Lie to You,MISERO,0.796,0.731,0.498,0.529,2022
Crazy,Alex D'Rosso,0.681,0.865,0.494,0.282,2022
Life Goes On,Oliver Tree,0.7,0.49,0.569,0.186,2022
Dinero,Trinidad Cardona,0.708,0.782,0.484,0.00772,2022
Pieces,Nippandab,0.698,0.78,0.203,0.157,2022
Pope Is a Rockstar,SALES,0.725,0.446,0.311,0.85,2022
Looking for Love,Asketa & Natan Chaim,0.748,0.894,0.503,0.311,2022
edamame (feat. Rich Brian),bbno$,0.815,0.848,0.684,0.023,2022
I Hate U,SZA,0.535,0.388,0.412,0.507,2022
She Wolf (Falling to Pieces),YES YES,0.592,0.719,0.169,0.00858,2022
Memories,Coopex,0.745,0.862,0.738,0.335,2022
Ameno Amapiano Remix (You Wanna Bamba),Goya Menor,0.807,0.898,0.743,0.188,2022
Say My Name,Why Not,0.773,0.74,0.659,0.00779,2022
Woman,Doja Cat,0.824,0.764,0.881,0.0888,2022
Leave The Door Open,Bruno Mars,0.586,0.616,0.719,0.182,2022
I AM WOMAN,Emmy Meli,0.646,0.471,0.455,0.122,2022
Paint It Black,Dame Dame,0.69,0.741,0.0774,0.0433,2022
Vacation,Dirty Heads,0.736,0.751,0.839,0.0381,2022
Free Falling Love,Lucas Estrada,0.771,0.932,0.139,0.311,2022
Ocean Drive,Harddope,0.645,0.868,0.51,0.0661,2022
Kiss Me More (feat. SZA),Doja Cat,0.762,0.701,0.742,0.235,2022
Beggin',Måneskin,0.714,0.8,0.589,0.127,2022
The Hills,Farux,0.656,0.778,0.736,0.4,2022
Young Folks,Jungle Jonsson,0.75,0.731,0.335,0.068,2022
good 4 u,Olivia Rodrigo,0.563,0.664,0.688,0.335,2022
Complicated,Nito-Onna,0.724,0.692,0.419,0.074,2022
Jalebi Baby (Tesher x Jason Derulo),Tesher,0.691,0.829,0.866,0.0289,2022
You Don't Know Me,Dame Dame,0.701,0.836,0.373,0.0304,2022
Talking to the Moon,Bruno Mars,0.498,0.59,0.0784,0.511,2022
Say It Right,MØRFI,0.764,0.793,0.127,0.0132,2022
Astronaut In The Ocean,Masked Wolf,0.778,0.695,0.472,0.175,2022
Creep,Naeleck,0.615,0.829,0.0754,0.0555,2022
Counting Stars,Farux,0.659,0.721,0.454,0.501,2022
Buss It,Erica Banks,0.918,0.434,0.75,0.569,2022
When You Were Young,Amero,0.806,0.845,0.508,0.0825,2022
Apologize,Farux,0.677,0.71,0.325,0.532,2022
Beauty And A Beat,Glamii,0.746,0.866,0.519,0.124,2022
Why,Padé,0.61,0.902,0.478,0.133,2022
Better Days (NEIKED x Mae Muller x Polo G),NEIKED,0.717,0.671,0.699,0.0018,2022
The Motto,Tiësto,0.754,0.763,0.464,0.0301,2022
Need to Know,Doja Cat,0.664,0.609,0.194,0.304,2022
Whatever You Like,DLAY,0.687,0.679,0.614,0.109,2022
MONEY,LISA,0.831,0.554,0.396,0.161,2022
Freaks,Surf Curse,0.345,0.941,0.407,3.84e-05,2022
Heart of Glass,Nito-Onna,0.75,0.838,0.397,0.194,2022
Blinding Lights,The Weeknd,0.514,0.73,0.334,0.00146,2022
Thot Shit,Megan Thee Stallion,0.95,0.693,0.891,0.0133,2022
Mr. Saxobeat,Nito-Onna,0.696,0.899,0.517,0.131,2022
Moves Like Jagger,Timemachine,0.552,0.831,0.733,0.0905,2022
Pumped Up Kicks,Madism,0.669,0.687,0.386,0.152,2022
Beautiful Mistakes (feat. Megan Thee Stallion),Maroon 5,0.713,0.676,0.721,0.0377,2022
RAPSTAR,Polo G,0.789,0.536,0.437,0.41,2022
Lies,Dame Dame,0.823,0.771,0.658,0.627,2022
Ready 4 Luv - TMLH Summer Mix,CAZZETTE,0.679,0.869,0.41,0.00969,2022
Ain't Shit,Doja Cat,0.855,0.488,0.619,0.506,2022
Wellerman - Sea Shanty / 220 KID x Billen Ted Remix,Nathan Evans,0.722,0.893,0.439,0.0441,2022
So Pretty,Reyanna Maria,0.799,0.543,0.25,0.0512,2022
Todo De Ti,Rauw Alejandro,0.78,0.718,0.342,0.31,2022
Write This Down (Instrumental),SoulChef,0.826,0.738,0.781,0.00355,2022
Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,0.677,0.696,0.464,0.321,2022
positions,Ariana Grande,0.736,0.802,0.675,0.468,2022
Slow Down,Coopex,0.715,0.72,0.41,0.134,2022
What If,HOURS,0.609,0.777,0.349,0.00162,2022
Running Away,VANO 3000,0.58,0.696,0.721,0.66,2022
Aesthetic,Xilo,0.714,0.594,0.45,0.965,2022
Levitating (feat. DaBaby),Dua Lipa,0.702,0.825,0.915,0.00883,2022
Work from Home,Coopex,0.845,0.669,0.86,0.181,2022
Bundles (feat. Taylor Girlz),Kayla Nicole,0.939,0.682,0.584,0.00152,2022
Sweater Weather,The Neighbourhood,0.612,0.807,0.398,0.0495,2022
As It Was,Michael Shynes,0.595,0.812,0.483,0.00321,2022
Follow Me,Senhit,0.707,0.867,0.485,0.00453,2022
Calling My Phone,Lil Tjay,0.907,0.393,0.202,0.451,2022
Wicked Game,YES YES,0.755,0.835,0.471,0.0202,2022
You Right,Doja Cat,0.828,0.621,0.436,0.0164,2022
Whoopty,CJ,0.719,0.648,0.66,0.2,2022
Electric Love,BØRNS,0.611,0.797,0.518,0.00543,2022
When Hello Means Goodbye,Alex Alexander,0.741,0.475,0.597,0.0214,2022
"More Than A Woman - From ""Saturday Night Fever"" Soundtrack",Bee Gees,0.601,0.703,0.673,0.175,2022
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,Riton,0.824,0.862,0.801,0.0076,2022
Hawái,Maluma,0.783,0.727,0.558,0.185,2022
Mood (feat. iann dior),24kGoldn,0.7,0.722,0.756,0.221,2022
Paid,Astelle,0.861,0.631,0.675,0.0188,2022
drivers license,Olivia Rodrigo,0.585,0.436,0.132,0.721,2022
Lemonade,Internet Money,0.799,0.66,0.471,0.256,2022
K Boy Bye,Astelle,0.547,0.865,0.638,0.0141,2022
Up,Cardi B,0.868,0.795,0.819,0.0012,2022
Just The Two of Us,Kauai45,0.592,0.214,0.422,0.936,2022
Play With Me,Ana Shine,0.714,0.666,0.486,0.223,2022
Best Friend (feat. Doja Cat),Saweetie,0.84,0.766,0.402,0.00302,2022
Cupid's Chokehold / Breakfast in America,Gym Class Heroes,0.72,0.744,0.619,0.237,2022
Forever,Nadia Gattas,0.75,0.879,0.333,0.0233,2022
The Business,Tiësto,0.798,0.62,0.235,0.414,2022
telepatía,Kali Uchis,0.653,0.524,0.553,0.112,2022
"Gravity (feat. Tyler, The Creator)",Brent Faiyaz,0.539,0.615,0.493,0.173,2022
motive (with Doja Cat),Ariana Grande,0.789,0.742,0.661,0.0681,2022
Feel Your Love,Yusuf Alev,0.68,0.778,0.511,0.0705,2022
Lost on You,sad girls,0.599,0.692,0.307,0.124,2022
Good Days,SZA,0.436,0.655,0.412,0.499,2022
What You Know Bout Love,Pop Smoke,0.709,0.548,0.543,0.65,2022
Rude Boy,YES YES,0.739,0.734,0.471,0.0242,2022
WAP (feat. Megan Thee Stallion),Cardi B,0.935,0.454,0.357,0.0194,2022
Savage Love (Laxed - Siren Beat),Jawsh 685,0.767,0.481,0.761,0.234,2022
dirty laundry,blackbear,0.766,0.64,0.67,0.051,2022
HOLIDAY,Lil Nas X,0.81,0.511,0.837,0.12,2022
WITHOUT YOU,The Kid LAROI,0.662,0.413,0.467,0.213,2022
Fly,Alex D'Rosso,0.676,0.842,0.388,0.0578,2022
ROCKSTAR (feat. Roddy Ricch),DaBaby,0.746,0.69,0.497,0.247,2022
34+35,Ariana Grande,0.83,0.585,0.485,0.237,2022
Rover (feat. DTG),S1mba,0.613,0.624,0.803,0.496,2022
Put Your Records On,Ritt Momney,0.399,0.492,0.159,0.058,2022
Mood Swings (feat. Lil Tjay),Pop Smoke,0.48,0.602,0.269,0.487,2022
Therefore I Am,Billie Eilish,0.889,0.34,0.716,0.218,2022
Wild & Free,Nander,0.474,0.722,0.274,0.0604,2022
Glad You Came,Braaheim,0.732,0.919,0.136,0.0271,2022
For The Night (feat. Lil Baby & DaBaby),Pop Smoke,0.823,0.586,0.347,0.114,2022
Backyard Boy,Claire Rosinkranz,0.819,0.642,0.452,0.336,2022
TKN (feat. Travis Scott),ROSALÍA,0.776,0.509,0.485,0.192,2022
Say It Right,Coopex,0.712,0.816,0.449,0.152,2022
Without You,Baby Bluu,0.625,0.698,0.204,0.0107,2022
Play Date,Melanie Martinez,0.68,0.729,0.446,0.612,2022
Freak,Doja Cat,0.688,0.716,0.373,0.0969,2022
Falling Down,Andrew Nagy,0.574,0.852,0.0363,0.032,2022
Wait a Minute!,WILLOW,0.764,0.705,0.672,0.0371,2022
Banana (feat. Shaggy) - DJ FLe - Minisiren Remix,Conkarah,0.824,0.854,0.896,0.016,2022
Over You,Myrrhe,0.863,0.325,0.537,0.667,2022
FLIP THE SWITCH (feat. Drake),Quavo,0.853,0.637,0.496,0.129,2022
The Boss,Coopex,0.734,0.789,0.258,0.0809,2022
Party Girl,StaySolidRocky,0.728,0.431,0.629,0.749,2022
Love Me Again,CPX,0.798,0.824,0.242,0.206,2022
Renee,SALES,0.924,0.386,0.424,0.755,2022
Don't Rush (feat. Headie One),Young T & Bugsey,0.961,0.461,0.324,0.202,2022
Right Here Waiting,Boostereo,0.639,0.704,0.285,0.0646,2022
THE SCOTTS,THE SCOTTS,0.716,0.537,0.28,0.233,2022
Cool for the Summer,Alex D'Rosso,0.805,0.871,0.443,0.177,2022
Kiss Me,Lucas Estrada,0.588,0.685,0.122,0.374,2022
Red Flag,Pia Baris,0.715,0.706,0.348,0.326,2022
One too Many Times,JRL,0.721,0.778,0.449,0.00262,2022
Boys Ain't Shit,SAYGRACE,0.826,0.615,0.841,0.435,2022
Boss Bitch,Doja Cat,0.707,0.955,0.575,0.127,2022
Only Girl,Coopex,0.792,0.832,0.186,0.367,2022
Tap In,Saweetie,0.954,0.696,0.432,0.00576,2022
Forever,Gianni Blu,0.753,0.75,0.266,0.00421,2022
Rather Be,Cabuizee,0.706,0.895,0.556,0.299,2022
Savage,Megan Thee Stallion,0.843,0.741,0.68,0.0252,2022
Blueberry Faygo,Lil Mosey,0.774,0.554,0.349,0.207,2022
Break My Heart,Dua Lipa,0.73,0.729,0.467,0.167,2022
On My Way,Alex Alexander,0.67,0.544,0.772,0.0429,2022
Astronomia,Vicetone,0.653,0.945,0.325,0.00561,2022
The Box,Roddy Ricch,0.896,0.586,0.642,0.104,2022
What's up?,LeXxìv,0.641,0.597,0.394,0.000399,2022
Supalonely,BENEE,0.863,0.631,0.817,0.305,2022
Toosie Slide,Drake,0.83,0.49,0.845,0.289,2022
Don't Start Now,Dua Lipa,0.794,0.793,0.677,0.0125,2022
Be Kind (with Halsey),Marshmello,0.63,0.633,0.452,0.00776,2022
Intentions (feat. Quavo),Justin Bieber,0.806,0.546,0.874,0.3,2022
Old Times,Xtinctor,0.581,0.718,0.149,0.0195,2022
"Hey, Soul Sister",LANDR,0.642,0.725,0.134,0.192,2022
Later Bitches,The Prince Karma,0.769,0.518,0.504,0.000573,2022
Life Is Good (feat. Drake),Future,0.676,0.609,0.508,0.0706,2022
WHATS POPPIN,Jack Harlow,0.923,0.604,0.826,0.017,2022
Let Her Go,LANDR,0.712,0.803,0.308,0.00537,2022
Sunday Best,Surfaces,0.878,0.525,0.694,0.183,2022
DÁKITI,Dame Dame,0.726,0.815,0.627,0.206,2022
Say So,Doja Cat,0.787,0.673,0.779,0.264,2022
In Your Eyes,The Weeknd,0.667,0.719,0.717,0.00285,2022
Falling,Trevor Daniel,0.785,0.431,0.236,0.123,2022
Let It Go,Dame Dame,0.769,0.796,0.681,0.0279,2022
death bed (coffee for your head),Powfu,0.726,0.431,0.348,0.731,2022
That Way,Lil Uzi Vert,0.719,0.611,0.489,0.0582,2022
Baby I'm Yours,Breakbot,0.829,0.792,0.758,0.726,2022
BOP,DaBaby,0.769,0.787,0.836,0.189,2022
OUT WEST (feat. Young Thug),JACKBOYS,0.802,0.591,0.309,0.0104,2022
Blinding Lights,The Weeknd,0.513,0.796,0.345,0.00147,2022
When the Sun Goes Down,Martin van Lectro,0.544,0.748,0.391,0.0646,2022
Skechers,DripReport,0.907,0.332,0.277,0.326,2022
ROXANNE,Arizona Zervas,0.621,0.601,0.457,0.0522,2022
Shooting Stars,Bag Raiders,0.649,0.716,0.503,0.0879,2022
The Git Up,Blanco Brown,0.847,0.678,0.811,0.0669,2022
Payphone,Faruk Orman,0.721,0.707,0.462,0.563,2022
I Don't Care (with Justin Bieber),Ed Sheeran,0.798,0.675,0.842,0.0912,2022
hot girl bummer,blackbear,0.778,0.559,0.678,0.128,2022
Demons,CPX,0.7,0.848,0.29,0.317,2022
Girls Like You (feat. Cardi B) - Cardi B Version,Maroon 5,0.851,0.541,0.448,0.568,2022
Without Me,Halsey,0.752,0.488,0.533,0.297,2022
Plug Walk,Rich The Kid,0.876,0.519,0.158,0.202,2022
California Dreaming,Jorm,0.717,0.865,0.487,0.0222,2022
Rockstar,Ilkay Sencan,0.771,0.826,0.185,0.142,2022
Falling for U,Peachy!,0.516,0.358,0.397,0.743,2022
Lovely,Alfons,0.504,0.677,0.0375,0.316,2022
The Less I Know The Better,Tame Impala,0.64,0.74,0.785,0.0115,2022
Dandelions,Ruth B.,0.609,0.692,0.454,0.0157,2022
Jimmy Cooks (feat. 21 Savage),Drake,0.529,0.673,0.366,0.000307,2022
Good Looking,Suki Waterhouse,0.377,0.558,0.267,0.0789,2022
INFERNO,Sub Urban,0.82,0.611,0.637,0.0766,2022
